epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
10,0.9167861938476562,0.9969258904457092,0.24969330430030823,0.001,0.9320468306541443,0.9040470719337463,0.9464655518531799,0.998492956161499,0.15499362349510193,0.9552188515663147,0.9404160380363464
11,0.9179967641830444,0.9968954920768738,0.24844011664390564,0.001,0.9336161613464355,0.9057605266571045,0.9502776265144348,0.998756468296051,0.14508658647537231,0.9575039744377136,0.9448081254959106
12,0.9212560057640076,0.9970505833625793,0.23762525618076324,0.001,0.9366396069526672,0.908554196357727,0.9503604769706726,0.9988185167312622,0.14656585454940796,0.9577524065971375,0.944973886013031
13,0.9220196008682251,0.9969739317893982,0.23730097711086273,0.001,0.9368934035301208,0.909690260887146,0.9561614394187927,0.9986070990562439,0.13186456263065338,0.9619318842887878,0.9506919980049133
14,0.9234723448753357,0.9973832368850708,0.2309778779745102,0.001,0.9377933740615845,0.9116644859313965,0.9522665143013,0.9988288283348083,0.13919375836849213,0.9582704901695251,0.9477086067199707
15,0.9222431182861328,0.997101366519928,0.23046422004699707,0.001,0.9366388320922852,0.9115713238716125,0.9559128284454346,0.9989861845970154,0.13045021891593933,0.9620253443717957,0.9510234594345093
16,0.9253720045089722,0.997383177280426,0.22464865446090698,0.001,0.9389406442642212,0.914178729057312,0.956990122795105,0.9987547993659973,0.12709090113639832,0.9621472358703613,0.9521007537841797
17,0.9260239005088806,0.9975979328155518,0.21972444653511047,0.001,0.9394634962081909,0.9150727391242981,0.9559128284454346,0.9988260865211487,0.12877929210662842,0.9622166156768799,0.9496974945068359
18,0.9273834824562073,0.9975432753562927,0.2189512848854065,0.001,0.9400133490562439,0.9164136648178101,0.9535924196243286,0.9990249872207642,0.12951859831809998,0.9588777422904968,0.9487859606742859
19,0.9273648262023926,0.9975008964538574,0.21845531463623047,0.001,0.9401119947433472,0.9162647128105164,0.9573216438293457,0.998769223690033,0.12435650080442429,0.9632390141487122,0.9532609581947327
20,0.9297860264778137,0.9975796341896057,0.2117740660905838,0.001,0.9421271681785583,0.919579803943634,0.954918384552002,0.9988906383514404,0.13382838666439056,0.9600769877433777,0.9506090879440308
21,0.929562509059906,0.997503399848938,0.21112965047359467,0.001,0.9415465593338013,0.9197847247123718,0.9570730328559875,0.9990893602371216,0.12551730871200562,0.9621598720550537,0.9524322748184204
22,0.9292645454406738,0.9975225925445557,0.21298468112945557,0.001,0.9421266913414001,0.918965220451355,0.9583989381790161,0.9987858533859253,0.11989615112543106,0.9625543355941772,0.9543382525444031
23,0.9304937124252319,0.9976239800453186,0.2077093869447708,0.001,0.942582905292511,0.9199895858764648,0.9573216438293457,0.9985995292663574,0.1245650202035904,0.9622073769569397,0.9536753296852112
24,0.9322630763053894,0.9977312088012695,0.20411062240600586,0.001,0.9445090889930725,0.9224852323532104,0.9619624018669128,0.9989858269691467,0.11157988011837006,0.9669373035430908,0.9573216438293457
