epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7812936305999756,0.9865311980247498,0.7071748375892639,0.001,0.868671715259552,0.7116756439208984,0.9109140634536743,0.9975870251655579,0.2603752017021179,0.9304190278053284,0.8942570686340332
1,0.8674687743186951,0.9941614270210266,0.4055144488811493,0.001,0.8987709879875183,0.8403516411781311,0.9241733551025391,0.9973472952842712,0.2296670526266098,0.9384116530418396,0.9116598963737488
2,0.8846777081489563,0.9952982068061829,0.34971940517425537,0.001,0.9122423529624939,0.8630734086036682,0.9247534871101379,0.9978535771369934,0.21874967217445374,0.9367454648017883,0.9130687117576599
3,0.8910844922065735,0.9955378174781799,0.3279566764831543,0.001,0.915230393409729,0.8722924590110779,0.9325432777404785,0.9977908134460449,0.1956997662782669,0.942966103553772,0.922101616859436
4,0.8976030349731445,0.9957461953163147,0.3107116222381592,0.001,0.9191988110542297,0.8794814944267273,0.9363553524017334,0.997814953327179,0.19426067173480988,0.9458865523338318,0.9270738363265991
5,0.9012720584869385,0.9961039423942566,0.29802897572517395,0.001,0.9215788841247559,0.8848825693130493,0.933289110660553,0.9984956979751587,0.18808762729167938,0.9431107640266418,0.9245877265930176
0,0.7819268703460693,0.9870104789733887,0.7042270302772522,0.001,0.8691388368606567,0.7097759246826172,0.9081793427467346,0.99683678150177,0.2737624943256378,0.9280836582183838,0.8897820711135864
1,0.8669286370277405,0.9940370321273804,0.407722532749176,0.001,0.8982253074645996,0.8389548063278198,0.9241733551025391,0.9977176785469055,0.2244117110967636,0.9406185746192932,0.9123228788375854
2,0.8816046714782715,0.9953557252883911,0.35624244809150696,0.001,0.9096945524215698,0.859832763671875,0.9288141131401062,0.9980745911598206,0.20953835546970367,0.9427598118782043,0.9172122478485107
3,0.8926116824150085,0.9957340955734253,0.32553935050964355,0.001,0.9153494834899902,0.8736334443092346,0.9371011853218079,0.9984221458435059,0.18228599429130554,0.9488135576248169,0.9278196692466736
4,0.8971002101898193,0.995865523815155,0.3168978989124298,0.001,0.9187197685241699,0.8778425455093384,0.9322118163108826,0.9979981184005737,0.20272693037986755,0.942869246006012,0.9231789112091064
5,0.9037863612174988,0.9962909817695618,0.29239940643310547,0.001,0.9228473901748657,0.8870802521705627,0.9409132599830627,0.998595654964447,0.1728019267320633,0.9518133401870728,0.9330404996871948
6,0.9070456027984619,0.9963058233261108,0.28188562393188477,0.001,0.9256908297538757,0.8909168839454651,0.946134090423584,0.9986289739608765,0.1540105938911438,0.9559133648872375,0.9397530555725098
7,0.9110312461853027,0.9966344237327576,0.2697782516479492,0.001,0.9286224246025085,0.8962807059288025,0.9366039633750916,0.9978644847869873,0.1891811043024063,0.9452598094940186,0.9287312626838684
8,0.9128005504608154,0.9967716336250305,0.26103267073631287,0.001,0.929754912853241,0.8987763524055481,0.9414933323860168,0.9983870983123779,0.1667594313621521,0.9497767090797424,0.9340349435806274
9,0.9165626764297485,0.9968913793563843,0.2545744478702545,0.001,0.9324659705162048,0.9023522734642029,0.951686441898346,0.9988359212875366,0.14334958791732788,0.9587395191192627,0.9454711079597473
